Mod:Item:MetaData, Localized Name
industrialupgrade:additionmodule:8, Модуль: Мгновенная беспроводная зарядка инструментов (RF)
industrialupgrade:additionmodule:9, Модуль: Очиститель
industrialupgrade:additionmodule:10, Модуль беспроводной связи
industrialupgrade:modultype:0, Модуль: Воздушная панель
industrialupgrade:modultype:1, Модуль: Земляная панель
industrialupgrade:modultype:2, Модуль: Адская панель
industrialupgrade:modultype:3, Модуль: Краевая панель
industrialupgrade:modultype:4, Модуль: Ночная панель
industrialupgrade:modultype:5, Модуль: Дневная панель
industrialupgrade:modultype:6, Модуль: Дождевая панель
industrialupgrade:modulestype:0, Модуль: Улучшенная солнечная панель
industrialupgrade:modulestype:1, Модуль: §3Гибридная солнечная панель
industrialupgrade:modulestype:2, Модуль: §9Совершенная солнечная панель
industrialupgrade:modulestype:3, Модуль: §2Квантовая солнечная панель
industrialupgrade:modulestype:4, Модуль: §eСпектральная солнечная панель
industrialupgrade:modulestype:5, Модуль: §5Протонная солнечная панель
industrialupgrade:modulestype:6, Модуль: §8Сингулярная солнечная панель
industrialupgrade:modulestype:7, Модуль: §cДифракционная солнечная панель
industrialupgrade:modulestype:8, Модуль: §aФотонная солнечная панель
industrialupgrade:modulestype:9, Модуль: §9Нейтронная солнечная панель
industrialupgrade:modulestype:10, Модуль: Барионная солнечная панель
industrialupgrade:modulestype:11, Модуль: Адронная солнечная панель
industrialupgrade:modulestype:12, Модуль: Гравитонная солнечная панель
industrialupgrade:modulestype:13, Модуль: Кварковая солнечная панель
industrialupgrade:quarrymodules:0, Модуль: Переплавка руд
industrialupgrade:quarrymodules:1, Модуль: Эффективность I
industrialupgrade:quarrymodules:2, Модуль: Эффективность II
industrialupgrade:quarrymodules:3, Модуль: Эффективность III
industrialupgrade:quarrymodules:4, Модуль: Эффективность IV
industrialupgrade:quarrymodules:5, Модуль: Эффективность V
industrialupgrade:quarrymodules:6, Модуль: Удача I
industrialupgrade:quarrymodules:7, Модуль: Удача II
industrialupgrade:quarrymodules:8, Модуль: Удача III
industrialupgrade:quarrymodules:9, Модуль: Область 3х3
industrialupgrade:quarrymodules:10, Модуль: Область 5х5
industrialupgrade:quarrymodules:11, Модуль: Область 7х7
industrialupgrade:quarrymodules:12, Модуль: Чёрный список
industrialupgrade:quarrymodules:13, Модуль: Белый список
industrialupgrade:helium, iu.helium.name.name
industrialupgrade:coal_chunk, iu.coal_chunk.name.name
industrialupgrade:compresscarbon, iu.compresscarbon.name.name
industrialupgrade:compresscarbonultra, iu.compresscarbonultra.name.name
industrialupgrade:photoniy, iu.photoniy.name.name
industrialupgrade:photoniy_ingot, iu.photoniy_ingot.name.name
industrialupgrade:quantumitems2, iu.quantumitems2.name.name
industrialupgrade:quantumitems3, iu.quantumitems3.name.name
industrialupgrade:expmodule, iu.expmodule.name.name
industrialupgrade:quantumitems4, iu.quantumitems4.name.name
industrialupgrade:nanobox, iu.nanobox.name.name
industrialupgrade:module_schedule, iu.module_schedule.name.name
industrialupgrade:quantumitems6, iu.quantumitems6.name.name
industrialupgrade:quantumitems7, iu.quantumitems7.name.name
industrialupgrade:neutronium, iu.neutronium.name.name
industrialupgrade:plast, iu.plast.name.name
industrialupgrade:module_stack, iu.module_stack.name.name
industrialupgrade:module_quickly, iu.module_quickly.name.name
industrialupgrade:module_storage, iu.module_storage.name.name
industrialupgrade:plastic_plate, iu.plastic_plate.name.name
industrialupgrade:neutroniumingot, iu.neutroniumingot.name.name
industrialupgrade:doublescrapbox, iu.doublescrapbox.name.name
industrialupgrade:quarrymodule, iu.quarrymodule.name.name
industrialupgrade:analyzermodule, iu.analyzermodule.name.name
industrialupgrade:radiationresources:0, Кусок америция
industrialupgrade:radiationresources:1, Кусок нептуния
industrialupgrade:radiationresources:2, Кусок кюрия
industrialupgrade:radiationresources:3, Кусок калифорния
industrialupgrade:radiationresources:4, Излучающий торий
industrialupgrade:radiationresources:5, Кусок менделевия
industrialupgrade:radiationresources:6, Кусок берклия
industrialupgrade:radiationresources:7, Кусок эйнштейния
industrialupgrade:radiationresources:8, Уран-233
industrialupgrade:protonshard, iu.protonshard.name
industrialupgrade:proton, iu.proton.name
industrialupgrade:toriy, iu.toriy.name
industrialupgrade:itemsunnarium:0, Обогащённый саннариум
industrialupgrade:itemsunnarium:1, Обогащённая саннариумная пластина
industrialupgrade:itemsunnarium:2, Саннариумная пластина
industrialupgrade:itemsunnarium:3, Саннариум
industrialupgrade:itemsunnarium:4, Часть саннариума
industrialupgrade:itemsunnariumpanel:0, Гибридная саннариумная пластина
industrialupgrade:itemsunnariumpanel:1, Совершенная саннариумная пластина
industrialupgrade:itemsunnariumpanel:2, Квантовая саннариумная пластина
industrialupgrade:itemsunnariumpanel:3, Спектральная саннариумная пластина
industrialupgrade:itemsunnariumpanel:4, Протонная саннариумная пластина
industrialupgrade:itemsunnariumpanel:5, Сингулярная саннариумная пластина
industrialupgrade:itemsunnariumpanel:6, Дифракционная саннариумная пластина
industrialupgrade:itemsunnariumpanel:7, Фотонная саннариумная пластина
industrialupgrade:itemsunnariumpanel:8, Нейтронная саннариумная пластина
industrialupgrade:itemsunnariumpanel:9, Барионная саннариумная пластина
industrialupgrade:itemsunnariumpanel:10, Адронная саннариумная пластина
industrialupgrade:itemsunnariumpanel:11, Гравитонная саннариумная пластина
industrialupgrade:itemsunnariumpanel:12, Кварковая саннариумная пластина
industrialupgrade:itemcore:0, §8Улучшенное ядро
industrialupgrade:itemcore:1, §3Гибридное ядро
industrialupgrade:itemcore:2, §9Совершенное ядро
industrialupgrade:itemcore:3, §2Квантовое ядро
industrialupgrade:itemcore:4, §eСпектральное ядро
industrialupgrade:itemcore:5, §5Протонное ядро
industrialupgrade:itemcore:6, §8Сингулярное ядро
industrialupgrade:itemcore:7, §cДифракционное ядро
industrialupgrade:itemcore:8, §aФотонное ядро
industrialupgrade:itemcore:9, §9Нейтронное ядро
industrialupgrade:itemcore:10, Барионное ядро
industrialupgrade:itemcore:11, Адронное ядро
industrialupgrade:itemcore:12, Гравитонное ядро
industrialupgrade:itemcore:13, Кварковое ядро
industrialupgrade:anode, iu.anode.name
industrialupgrade:cathode, iu.cathode.name
industrialupgrade:alloycasing:0, Оболочка алюминиевой бронзы
industrialupgrade:alloycasing:1, Алюмелевая оболочка
industrialupgrade:alloycasing:2, Оболочка красной латуни
industrialupgrade:alloycasing:3, Оболочка мунц-металла
industrialupgrade:alloycasing:4, Нихромовая оболочка
industrialupgrade:alloycasing:5, Алькледная оболочка
industrialupgrade:alloycasing:6, Оболочка ванадиево-алюминиевого сплава
industrialupgrade:alloycasing:7, Виталиевая оболочка
industrialupgrade:alloycasing:8, Дюралюминиевая оболочка
industrialupgrade:alloycasing:9, Ферромарганцевая оболочка
industrialupgrade:alloydoubleplate:0, Плотная пластина алюминиевой бронзы
industrialupgrade:alloydoubleplate:1, Плотная алюмелевая пластина
industrialupgrade:alloydoubleplate:2, Плотная пластина красной латуни
industrialupgrade:alloydoubleplate:3, Плотная пластина мунц-металла
industrialupgrade:alloydoubleplate:4, Плотная нихромовая пластина
industrialupgrade:alloydoubleplate:5, Плотная алькледная пластина
industrialupgrade:alloydoubleplate:6, Плотная пластина ванадиево-алюминиевого сплава
industrialupgrade:alloydoubleplate:7, Плотная виталиевая пластина
industrialupgrade:alloydoubleplate:8, Плотная дюралюминиевая пластина
industrialupgrade:alloydoubleplate:9, Плотная ферромарганцевая пластина
industrialupgrade:alloydust:0, Пыль алюминиевой бронзы
industrialupgrade:alloydust:1, Алюмелевая пыль
industrialupgrade:alloydust:2, Пыль красной латуни
industrialupgrade:alloydust:3, Пыль мунц-металла
industrialupgrade:alloydust:4, Нихромовая пыль
industrialupgrade:alloydust:5, Алькледная пыль
industrialupgrade:alloydust:6, Пыль ванадиево-алюминиевого сплава
industrialupgrade:alloydust:7, Виталиевая пыль
industrialupgrade:alloydust:8, Дюралюминиевая пыль
industrialupgrade:alloydust:9, Ферромарганцевая пыль
industrialupgrade:alloyingot:0, Слиток алюминиевой бронзы
industrialupgrade:alloyingot:1, Алюмелевый слиток
industrialupgrade:alloyingot:2, Слиток красной латуни
industrialupgrade:alloyingot:3, Слиток мунц-металла
industrialupgrade:alloyingot:4, Нихромовый слиток
industrialupgrade:alloyingot:5, Алькледный слиток
industrialupgrade:alloyingot:6, Слиток ванадиево-алюминиевого сплава
industrialupgrade:alloyingot:7, Виталиевый слиток
industrialupgrade:alloyingot:8, Дюралюминиевый слиток
industrialupgrade:alloyingot:9, Ферромарганцевый слиток
industrialupgrade:alloynugget:0, Кусочек алюминиевой бронзы
industrialupgrade:alloynugget:1, Кусочек алюмеля
industrialupgrade:alloynugget:2, Кусочек красной латуни
industrialupgrade:alloynugget:3, Кусочек мунц-металла
industrialupgrade:alloynugget:4, Кусочек нихрома
industrialupgrade:alloynugget:5, Кусочек алькледа
industrialupgrade:alloynugget:6, Кусочек ванадиево-алюминиевого сплава
industrialupgrade:alloynugget:7, Кусочек виталия
industrialupgrade:alloynugget:8, Кусочек дюралюминия
industrialupgrade:alloynugget:9, Кусочек ферромарганца
industrialupgrade:alloyplate:0, Пластина алюминиевой бронзы
industrialupgrade:alloyplate:1, Алюмелевая пластина
industrialupgrade:alloyplate:2, Пластина красной латуни
industrialupgrade:alloyplate:3, Пластина мунц-металла
industrialupgrade:alloyplate:4, Нихромовая пластина
industrialupgrade:alloyplate:5, Алькледная пластина
industrialupgrade:alloyplate:6, Пластина ванадиево-алюминиевого сплава
industrialupgrade:alloyplate:7, Виталиевая пластина
industrialupgrade:alloyplate:8, Дюралюминиевая пластина
industrialupgrade:alloyplate:9, Ферромарганцевая пластина
industrialupgrade:preciousgem:0, Рубин
industrialupgrade:preciousgem:1, Сапфир
industrialupgrade:preciousgem:2, Топаз
industrialupgrade:advventspread, iu.advventspread.name
industrialupgrade:impventspread, iu.impventspread.name
industrialupgrade:reactoradvvent, iu.reactoradvvent.name
industrialupgrade:reactorimpvent, iu.reactorimpvent.name
industrialupgrade:reactorcondensatordiamond, iu.reactorcondensatordiamond.name
industrialupgrade:advheatswitch, iu.advheatswitch.name
industrialupgrade:impheatswitch, iu.impheatswitch.name
industrialupgrade:reactorcoolantmax, iu.reactorcoolantmax.name
industrialupgrade:reactorcoolanttwelve, iu.reactorcoolanttwelve.name
industrialupgrade:upgradekitpanel:0, Набор улучшений панели из обычной в улучшенную
industrialupgrade:upgradekitpanel:1, Набор улучшений панели из улучшенной в гибридную
industrialupgrade:upgradekitpanel:2, Набор улучшений панели из гибридной в совершенную гибридную
industrialupgrade:upgradekitpanel:3, Набор улучшений панели из совершенной гибридной в квантовую
industrialupgrade:upgradekitpanel:4, Набор улучшений панели из квантовой в спектральную
industrialupgrade:upgradekitpanel:5, Набор улучшений панели из спектральной в протонную
industrialupgrade:upgradekitpanel:6, Набор улучшений панели из протонной в сингулярную
industrialupgrade:upgradekitpanel:7, Набор улучшений панели из сингулярной в дифракционную
industrialupgrade:upgradekitpanel:8, Набор улучшений панели из дифракционной в фотонную
industrialupgrade:upgradekitpanel:9, Набор улучшений панели из фотонной в нейтронную
industrialupgrade:upgradekitpanel:10, Набор улучшений панели из нейтронной в барионную
industrialupgrade:upgradekitpanel:11, Набор улучшений панели из барионной в адронную
industrialupgrade:upgradekitpanel:12, Набор улучшений панели из адронной в гравитонную
industrialupgrade:upgradekitpanel:13, Набор улучшений панели из гравитонной в кварковую
industrialupgrade:upgradekitpanel:14, Набор улучшений панели из гибридной в дракониевую
industrialupgrade:upgradekitpanel:15, Набор улучшений панели из дракониевой в пробуждённую
industrialupgrade:upgradekitpanel:16, Набор улучшений панели из пробуждённой в хаотическую
industrialupgrade:upgradekitpanel:17, Набор улучшений панели из улучшенной в манастальную
industrialupgrade:upgradekitpanel:18, Набор улучшений панели из манастальной в элементиевую
industrialupgrade:upgradekitpanel:19, Набор улучшений панели из элементиевой в террастальную
industrialupgrade:upgradekitpanel:20, Набор улучшений панели из фотонной в нейтрониевую
industrialupgrade:upgradekitpanel:21, Набор улучшений панели из нейтрониевой в панель бесконечности
industrialupgrade:upgradekitpanel:22, Набор улучшений панели из гибридной в таум-панель
industrialupgrade:upgradekitpanel:23, Набор улучшений панели из таум-панели в пустотную
industrialupgrade:magnet, Магнит
industrialupgrade:impmagnet, Продвинутый магнит
industrialupgrade:purifier, Очиститель
industrialupgrade:entitymodules:0, Охотничий модуль: Игрок
industrialupgrade:entitymodules:1, Охотничий модуль: Моб
industrialupgrade:itemcell:0, Капсула
industrialupgrade:itemcell:1, Капсула нейтрона
industrialupgrade:itemcell:2, Капсула гелия
industrialupgrade:itemcell:3, Капсула бензина
industrialupgrade:itemcell:4, Капсула дизельного топлива
industrialupgrade:itemcell:5, Капсула нефти
industrialupgrade:itemcell:6, Капсула полиэтилена
industrialupgrade:itemcell:7, Капсула полипропилена
industrialupgrade:itemcell:8, Капсула кислорода
industrialupgrade:itemcell:9, Капсула водорода
industrialupgrade:baseblockalloy:0, Блок алюминиевой бронзы
industrialupgrade:baseblockalloy:1, Алюмелевый блок
industrialupgrade:baseblockalloy:2, Блок красной латуни
industrialupgrade:baseblockalloy:3, Блок мунц-металла
industrialupgrade:baseblockalloy:4, Нихромовый блок
industrialupgrade:baseblockalloy:5, Алькледный блок
industrialupgrade:baseblockalloy:6, Блок ванадиево-алюминиевого сплава
industrialupgrade:baseblockalloy:7, Виталиевый блок
industrialupgrade:baseblockalloy:8, Дюралюминиевый блок
industrialupgrade:baseblockalloy:9, Ферромарганцевый блок
industrialupgrade:baseblockingot:0, Михаловый блок
industrialupgrade:baseblockingot:1, Алюминиевый блок
industrialupgrade:baseblockingot:2, Ванадиевый блок
industrialupgrade:baseblockingot:3, Вольфрамовый блок
industrialupgrade:baseblockingot:4, Инварный блок
industrialupgrade:baseblockingot:5, Каравковый блок
industrialupgrade:baseblockingot:6, Кобальтовый блок
industrialupgrade:baseblockingot:7, Магниевый блок
industrialupgrade:baseblockingot:8, Никелевый блок
industrialupgrade:baseblockingot:9, Платиновый блок
industrialupgrade:baseblockingot:10, Титановый блок
industrialupgrade:baseblockingot:11, Хромовый блок
industrialupgrade:baseblockingot:12, Шпинелевый блок
industrialupgrade:baseblockingot:13, Электрумовый блок
industrialupgrade:baseblockingot:14, Серебряный блок
industrialupgrade:baseblockingot:15, Цинковый блок
industrialupgrade:baseblockingot1:0, Марганцевый блок
industrialupgrade:baseblockingot1:1, Иридиевый блок
industrialupgrade:baseblockingot1:2, Германиевый блок
industrialupgrade:blockprecious:0, Рубиновый блок
industrialupgrade:blockprecious:1, Сапфировый блок
industrialupgrade:blockprecious:2, Топазовый блок
industrialupgrade:blockpreciousore:0, Рубиновая руда
industrialupgrade:blockpreciousore:1, Сапфировая руда
industrialupgrade:blockpreciousore:2, Топазовая руда
industrialupgrade:baseore:0, Михаловая руда
industrialupgrade:baseore:1, Алюминиевая руда
industrialupgrade:baseore:2, Ванадиевая руда
industrialupgrade:baseore:3, Вольфрамовая руда
industrialupgrade:baseore:4, Кобальтовая руда
industrialupgrade:baseore:5, Магниевая руда
industrialupgrade:baseore:6, Никелевая руда
industrialupgrade:baseore:7, Платиновая руда
industrialupgrade:baseore:8, Титановая руда
industrialupgrade:baseore:9, Хромовая руда
industrialupgrade:baseore:10, Шпинелевая руда
industrialupgrade:baseore:11, Серебряная руда
industrialupgrade:baseore:12, Цинковая руда
industrialupgrade:baseore:13, Марганцевая руда
industrialupgrade:baseore:14, Иридиевая руда
industrialupgrade:baseore:15, Германиевая руда
industrialupgrade:heavyore:0, Магнетит
industrialupgrade:heavyore:1, Калаверит
industrialupgrade:heavyore:2, Галенит
industrialupgrade:heavyore:3, Никелит
industrialupgrade:heavyore:4, Пирит
industrialupgrade:heavyore:5, Кварцит
industrialupgrade:heavyore:6, Уранит
industrialupgrade:heavyore:7, Азурит
industrialupgrade:heavyore:8, Родонит
industrialupgrade:heavyore:9, Альфильдит
industrialupgrade:heavyore:10, Эвксенит
industrialupgrade:heavyore:11, Смитсонит
industrialupgrade:heavyore:12, Ильменит
industrialupgrade:heavyore:13, Тодорокит
industrialupgrade:heavyore:14, Ферроавгит
industrialupgrade:heavyore:15, Шеелит
industrialupgrade:blockradiationore:0, Америциевая руда
industrialupgrade:blockradiationore:1, Нептуниевая руда
industrialupgrade:blockradiationore:2, Кюриевая руда
industrialupgrade:veinheavyore:0, Магнетит
industrialupgrade:veinheavyore:1, Калаверит
industrialupgrade:veinheavyore:2, Галенит
industrialupgrade:veinheavyore:3, Никелит
industrialupgrade:veinheavyore:4, Пирит
industrialupgrade:veinheavyore:5, Кварцит
industrialupgrade:veinheavyore:6, Уранит
industrialupgrade:veinheavyore:7, Азурит
industrialupgrade:veinheavyore:8, Родонит
industrialupgrade:veinheavyore:9, Альфильдит
industrialupgrade:veinheavyore:10, Эвксенит
industrialupgrade:veinheavyore:11, Смитсонит
industrialupgrade:veinheavyore:12, Ильменит
industrialupgrade:veinheavyore:13, Тодорокит
industrialupgrade:veinheavyore:14, Ферроавгит
industrialupgrade:veinheavyore:15, Шеелит
industrialupgrade:veinoil:0, Нефтяная жила
industrialupgrade:thorium_ore:0, Ториевая руда
industrialupgrade:itemiucrafring:0, Излучающий уран
industrialupgrade:itemiucrafring:1, Излучающая стеклянная поверхность
industrialupgrade:itemiucrafring:2, Урановый слиток
industrialupgrade:itemiucrafring:3, Ядро молекулярного преобразователя
industrialupgrade:nanopickaxe, §7Нано-кирка
industrialupgrade:nanoshovel, §7Нано-лопата
industrialupgrade:nanoaxe, §7Нано-топор
industrialupgrade:quantumpickaxe, §fКвантовая кирка
industrialupgrade:quantumshovel, §fКвантовая лопата
industrialupgrade:quantumaxe, §fКвантовый топор
industrialupgrade:spectralpickaxe, §eСпектральная кирка
industrialupgrade:ultddrill, Совершенный бур
industrialupgrade:spectralshovel, §eСпектральная лопата
industrialupgrade:spectralaxe, §eСпектральный топор
industrialupgrade:nano_bow, Нано-лук
industrialupgrade:quantum_bow, Квантовый лук
industrialupgrade:spectral_bow, Спектральный лук
industrialupgrade:itemnanosaber, iu.itemNanoSaber.name
industrialupgrade:itemnanosaber1, iu.itemNanoSaber1.name
industrialupgrade:itemarmorquantumhelmet, supersolarpanels.itemArmorQuantumHelmet.name
industrialupgrade:itemarmorquantumchestplate, supersolarpanels.itemArmorQuantumChestplate.name
industrialupgrade:itemarmorquantumlegs, supersolarpanels.itemArmorQuantumLegs.name
industrialupgrade:itemarmorquantumboots, supersolarpanels.itemArmorQuantumBoots.name
industrialupgrade:nanodrill, Нано-бур
industrialupgrade:quantumdrill, Квантовый бур
industrialupgrade:spectraldrill, Спектральный бур
industrialupgrade:advjetpack, advjetpack.name.name
industrialupgrade:impjetpack, impjetpack.name.name
industrialupgrade:perjetpack, perjetpack.name.name
industrialupgrade:spectral_solar_helmet, item.spectral_solar_helmet.name.name
industrialupgrade:singular_solar_helmet, item.singular_solar_helmet.name.name
industrialupgrade:advanced_solar_helmet, item.advanced_solar_helmet.name.name
industrialupgrade:hybrid_solar_helmet, item.hybrid_solar_helmet.name.name
industrialupgrade:ultimate_solar_helmet, item.ultimate_solar_helmet.name.name
industrialupgrade:adv_lappack, item.adv_lappack.name.name
industrialupgrade:imp_lappack, item.imp_lappack.name.name
industrialupgrade:per_lappack, item.per_lappack.name.name
industrialupgrade:upgradekitmachine:0, Набор улучшений машины из обычной в улучшенную
industrialupgrade:upgradekitmachine:1, Набор улучшений машины из улучшенной в продвинутую
industrialupgrade:upgradekitmachine:2, Набор улучшений машины из продвинутой в совершенную
industrialupgrade:upgradekitmachine:3, Набор улучшений машины в максимальную
industrialupgrade:book_iu, item.book_iu.name.name
industrialupgrade:manasteel_plate, iu.manasteel_plate.name.name
industrialupgrade:manasteel_core, iu.manasteel_core.name.name
industrialupgrade:elementium_plate, iu.elementium_plate.name.name
industrialupgrade:elementium_core, iu.elementium_core.name.name
industrialupgrade:terrasteel_plate, iu.terrasteel_plate.name.name
industrialupgrade:terrasteel_core, iu.terrasteel_core.name.name
industrialupgrade:rune_sun, iu.rune_sun.name.name
industrialupgrade:rune_night, iu.rune_night.name.name
industrialupgrade:rune_energy, iu.rune_energy.name.name
industrialupgrade:teraddrill, Террастальной бур
forge:bucketfilled, %s Ведро
buildcraftlib:guide, Руководство по BuildCraft
buildcraftlib:guide_note, Примечание руководства
buildcraftlib:debugger, Отладчик
appliedenergistics2:quartz_ore, Руда истинного кварца
appliedenergistics2:charged_quartz_ore, Заряженная руда истинного кварца
appliedenergistics2:matrix_frame, Каркас матрицы
appliedenergistics2:quartz_block, Блок истинного кварца
appliedenergistics2:quartz_pillar, Колонна истинного кварца
appliedenergistics2:chiseled_quartz_block, Резной блок истинного кварца
appliedenergistics2:quartz_glass, Кварцевое стекло
appliedenergistics2:quartz_vibrant_glass, Энергичное кварцевое стекло
appliedenergistics2:quartz_fixture, Светильник из заряженного кварца
appliedenergistics2:fluix_block, Изменчивый блок
appliedenergistics2:sky_stone_block, Небесный камень
appliedenergistics2:smooth_sky_stone_block, Блок небесного камня
appliedenergistics2:sky_stone_brick, Кирпич небесного камня
appliedenergistics2:sky_stone_small_brick, Малый кирпич небесного камня
appliedenergistics2:sky_stone_chest, Сундук из небесного камня
appliedenergistics2:smooth_sky_stone_chest, Сундук из блока небесного камня
appliedenergistics2:sky_compass, Метеоритный компас
appliedenergistics2:grindstone, Кварцевый дробитель
appliedenergistics2:crank, Деревянная рукоятка
appliedenergistics2:inscriber, Высекатель
appliedenergistics2:wireless_access_point, МЭ беспроводная точка доступа
appliedenergistics2:charger, Зарядник
appliedenergistics2:tiny_tnt, Маленький динамит
appliedenergistics2:security_station, МЭ терминал безопасности
appliedenergistics2:quantum_ring, МЭ квантовое кольцо
appliedenergistics2:quantum_link, МЭ камера квантовой связи
appliedenergistics2:spatial_pylon, Пространственный пилон
appliedenergistics2:spatial_io_port, Пространственный порт ввода\вывода
appliedenergistics2:controller, МЭ контроллер
appliedenergistics2:drive, МЭ накопитель
appliedenergistics2:chest, МЭ сундук
appliedenergistics2:interface, МЭ интерфейс
appliedenergistics2:fluid_interface, ME Fluid Interface
appliedenergistics2:cell_workbench, Верстак для ячеек
appliedenergistics2:io_port, МЭ порт ввода\вывода
appliedenergistics2:condenser, Конденсатор материи
appliedenergistics2:energy_acceptor, Приёмщик энергии
appliedenergistics2:vibration_chamber, Вибрационная камера
appliedenergistics2:quartz_growth_accelerator, Ускоритель роста кристаллов
appliedenergistics2:energy_cell, Энергетическая ячейка
appliedenergistics2:dense_energy_cell, Плотная энергетическая ячейка
appliedenergistics2:creative_energy_cell, Творческая энергетическая ячейка
appliedenergistics2:crafting_unit, Блок крафта
appliedenergistics2:crafting_accelerator, Блок обработки крафта
appliedenergistics2:crafting_storage_1k, 1К хранилище крафта
appliedenergistics2:crafting_storage_4k, 4К хранилище крафта
appliedenergistics2:crafting_storage_16k, 16К хранилище крафта
appliedenergistics2:crafting_storage_64k, 64К хранилище крафта
appliedenergistics2:crafting_monitor, Монитор крафта
appliedenergistics2:molecular_assembler, Молекулярный сборщик
appliedenergistics2:light_detector, Светильник обнаружения света
appliedenergistics2:paint, tile.appliedenergistics2.paint.name
appliedenergistics2:sky_stone_stairs, Ступеньки из небесного камня
appliedenergistics2:smooth_sky_stone_stairs, Ступеньки из блока небесного камня
appliedenergistics2:sky_stone_brick_stairs, Ступеньки из кирпича небесного камня
appliedenergistics2:sky_stone_small_brick_stairs, Ступеньки из малого кирпича небесного камня
appliedenergistics2:fluix_stairs, Изменчивые ступеньки
appliedenergistics2:quartz_stairs, Ступеньки из истинного кварца
appliedenergistics2:chiseled_quartz_stairs, Ступеньки из резного истинного кварца
appliedenergistics2:quartz_pillar_stairs, Ступеньки из колонны истинного кварца
appliedenergistics2:cable_bus, AE2 кабель и/или шина
appliedenergistics2:sky_stone_slab:0, Плита из небесного камня
appliedenergistics2:smooth_sky_stone_slab:0, Плита из блока небесного камня
appliedenergistics2:sky_stone_brick_slab:0, Плита из кирпича небесного камня
appliedenergistics2:sky_stone_small_brick_slab:0, Плита из малого кирпича небесного камня
appliedenergistics2:fluix_slab:0, Изменчивая плита
appliedenergistics2:quartz_slab:0, Плита из истинного кварца
appliedenergistics2:chiseled_quartz_slab:0, Плита из резного истинного кварца
appliedenergistics2:quartz_pillar_slab:0, Плита из колонны истинного кварца
appliedenergistics2:certus_quartz_axe, Топор из истинного кварца
appliedenergistics2:certus_quartz_hoe, Мотыга из истинного кварца
appliedenergistics2:certus_quartz_spade, Лопата из истинного кварца
appliedenergistics2:certus_quartz_pickaxe, Кирка из истинного кварца
appliedenergistics2:certus_quartz_sword, Меч из истинного кварца
appliedenergistics2:certus_quartz_wrench, Гаечный ключ из истинного кварца
appliedenergistics2:certus_quartz_cutting_knife, Нож из истинного кварца
appliedenergistics2:nether_quartz_axe, Топор из незер-кварца
appliedenergistics2:nether_quartz_hoe, Мотыга из незер-кварца
appliedenergistics2:nether_quartz_spade, Лопата из незер-кварца
appliedenergistics2:nether_quartz_pickaxe, Кирка из незер-кварца
appliedenergistics2:nether_quartz_sword, Меч из незер-кварца
appliedenergistics2:nether_quartz_wrench, Гаечный ключ из незер-кварца
appliedenergistics2:nether_quartz_cutting_knife, Нож из незер-кварца
appliedenergistics2:entropy_manipulator, Манипулятор энтропией
appliedenergistics2:wireless_terminal, Беспроводной терминал
appliedenergistics2:charged_staff, Заряженный посох
appliedenergistics2:matter_cannon, Материальная пушка
appliedenergistics2:portable_cell, Переносная ячейка
appliedenergistics2:color_applicator, Аппликатор цвета
appliedenergistics2:biometric_card, Биометрическая карта
appliedenergistics2:memory_card, Карта памяти
appliedenergistics2:network_tool, Сетевой инструмент
appliedenergistics2:creative_storage_cell, Творческая МЭ ячейка хранения
appliedenergistics2:view_cell, Ячейка представления
appliedenergistics2:storage_cell_1k, 1К МЭ ячейка хранения
appliedenergistics2:storage_cell_4k, 4К МЭ ячейка хранения
appliedenergistics2:storage_cell_16k, 16К МЭ ячейка хранения
appliedenergistics2:storage_cell_64k, 64К МЭ ячейка хранения
appliedenergistics2:fluid_storage_cell_1k, 1k ME Fluid Storage Cell
appliedenergistics2:fluid_storage_cell_4k, 4k ME Fluid Storage Cell
appliedenergistics2:fluid_storage_cell_16k, 16k ME Fluid Storage Cell
appliedenergistics2:fluid_storage_cell_64k, 64k ME Fluid Storage Cell
appliedenergistics2:spatial_storage_cell_2_cubed, 2³ пространственная ячейка хранения
appliedenergistics2:spatial_storage_cell_16_cubed, 16³ пространственная ячейка хранения
appliedenergistics2:spatial_storage_cell_128_cubed, 128³ пространственная ячейка хранения
appliedenergistics2:facade:0, Кабельный фасад - Камень
appliedenergistics2:facade:0, Кабельный фасад - Гранит
appliedenergistics2:facade:0, Кабельный фасад - Полированный гранит
appliedenergistics2:facade:0, Кабельный фасад - Диорит
appliedenergistics2:facade:0, Кабельный фасад - Полированный диорит
appliedenergistics2:facade:0, Кабельный фасад - Андезит
appliedenergistics2:facade:0, Кабельный фасад - Полированный андезит
appliedenergistics2:facade:0, Кабельный фасад - Дёрн
appliedenergistics2:facade:0, Кабельный фасад - Земля
appliedenergistics2:facade:0, Кабельный фасад - Каменистая земля
appliedenergistics2:facade:0, Кабельный фасад - Подзол
appliedenergistics2:facade:0, Кабельный фасад - Булыжник
appliedenergistics2:facade:0, Кабельный фасад - Дубовые доски
appliedenergistics2:facade:0, Кабельный фасад - Еловые доски
appliedenergistics2:facade:0, Кабельный фасад - Берёзовые доски
appliedenergistics2:facade:0, Кабельный фасад - Доски из тропического дерева
appliedenergistics2:facade:0, Кабельный фасад - Акациевые доски
appliedenergistics2:facade:0, Кабельный фасад - Доски из тёмного дуба
appliedenergistics2:facade:0, Кабельный фасад - Бедрок
appliedenergistics2:facade:0, Кабельный фасад - Песок
